id,gender,race,age,education,experience,gpa,hired
1,Male,White,42,Masters,5,2.54,1
2,Female,Black,29,Bachelors,6,3.6,0
3,Female,Hispanic,50,PhD,4,3.39,1
4,Male,Asian,24,Bachelors,8,2.85,1
5,Male,White,39,Masters,8,3.57,1
6,Female,White,35,Bachelors,9,3.17,1
7,Male,Black,49,Masters,2,3.64,1
8,Female,Hispanic,35,PhD,12,2.92,1
9,Non-binary,Asian,46,Bachelors,12,2.65,0
10,Male,Other,33,Masters,13,3.41,0
11,Female,White,45,PhD,16,3.3,0
12,Male,Black,34,Bachelors,4,3.33,0
13,Female,White,41,Masters,13,3.37,0
14,Male,Asian,23,Bachelors,9,3.66,0
15,Female,Hispanic,49,Masters,9,3.8,0
16,Male,White,36,PhD,13,2.74,1
17,Female,Black,43,Bachelors,10,3.55,0
18,Male,Asian,24,Masters,7,3.3,1
19,Female,White,36,Bachelors,14,2.9,0
20,Male,Hispanic,44,PhD,9,3.53,0
21,Female,Black,46,Masters,3,2.84,1
22,Male,White,32,Bachelors,14,2.9,1
23,Female,Asian,40,PhD,12,2.82,0
24,Male,White,50,Masters,16,2.71,1
25,Female,Black,45,Bachelors,10,3.62,0
26,Male,Hispanic,40,Masters,14,3.04,0
27,Female,White,26,PhD,17,2.64,1
28,Male,Asian,25,Bachelors,6,3.44,0
29,Female,Black,35,Masters,4,3.08,0
30,Male,White,36,PhD,10,3.96,0
